length,angle,energy
0.8,1.73,-75.90717571021256
0.8,1.735897435897436,-75.9075848229873
0.8,1.7417948717948717,-75.90798586103348
0.8,1.7476923076923077,-75.908378860248
0.8,1.7535897435897436,-75.90876385678182
0.8,1.7594871794871794,-75.90914088704812
0.8,1.7653846153846153,-75.90950998773025
0.8,1.7712820512820513,-75.90987119579067
0.8,1.7771794871794873,-75.91022454847773
0.8,1.783076923076923,-75.91057008333354
0.8,1.788974358974359,-75.91090783819999
0.8,1.794871794871795,-75.91123785122662
0.8,1.8007692307692307,-75.9115601608754
0.8,1.8066666666666666,-75.91187480592814
0.8,1.8125641025641026,-75.9121818254908
0.8,1.8184615384615384,-75.91248125899982
0.8,1.8243589743589743,-75.91277314622656
0.8,1.8302564102564103,-75.91305752728266
0.8,1.836153846153846,-75.91333444262354
0.8,1.842051282051282,-75.91360393305352
0.8,1.847948717948718,-75.91386603972981
0.8,1.853846153846154,-75.91412080416515
0.8,1.8597435897435897,-75.91436826823256
0.8,1.8656410256410256,-75.91460847416772
0.8,1.8715384615384616,-75.9148414645716
0.8,1.8774358974358973,-75.91506720223148
0.8,1.8833333333333333,-75.9152858911802
0.8,1.8892307692307693,-75.91549749461512
0.8,1.895128205128205,-75.91570205662589
0.8,1.901025641025641,-75.91589962168
0.8,1.906923076923077,-75.91609023462266
0.8,1.9128205128205127,-75.91627394068044
0.8,1.9187179487179487,-75.916450785461
0.8,1.9246153846153846,-75.91662081495484
0.8,1.9305128205128206,-75.91678407553592
0.8,1.9364102564102563,-75.91694061396232
0.8,1.9423076923076923,-75.91709047737696
0.8,1.9482051282051283,-75.91723371330808
0.8,1.954102564102564,-75.91737036966887
0.8,1.96,-75.91750049475834
0.8,1.96,-75.91750049475834
0.8102564102564103,1.96,-75.92809794772194
0.8205128205128206,1.96,-75.93755378198658
0.8307692307692308,1.96,-75.94594417488501
0.841025641025641,1.96,-75.9533394937569
0.8512820512820514,1.96,-75.95980637312762
0.8615384615384616,1.96,-75.9654069231611
0.8717948717948718,1.96,-75.97019927269052
0.882051282051282,1.96,-75.97423818767065
0.8923076923076924,1.96,-75.97757400109542
0.9025641025641026,1.96,-75.9802546746539
0.9128205128205129,1.96,-75.98232485980446
0.9230769230769231,1.96,-75.98382671105006
0.9333333333333333,1.96,-75.98479879793825
0.9435897435897436,1.96,-75.98527804013389
0.9538461538461539,1.96,-75.98529876566214
0.9641025641025641,1.96,-75.98489351154338
0.9743589743589743,1.96,-75.98409172679148
0.9846153846153847,1.96,-75.98292188598921
0.9948717948717949,1.96,-75.98141075051645
1.005128205128205,1.96,-75.97958242338039
1.0153846153846153,1.96,-75.97746030779734
1.0256410256410255,1.96,-75.97506645015991
1.035897435897436,1.96,-75.97242049470006
1.0461538461538462,1.96,-75.96954169482333
1.0564102564102564,1.96,-75.96644826205603
1.0666666666666667,1.96,-75.96315608757621
1.0769230769230769,1.96,-75.95968103523286
1.0871794871794873,1.96,-75.95603823256735
1.0974358974358975,1.96,-75.95224034206201
1.1076923076923078,1.96,-75.94830105613741
1.117948717948718,1.96,-75.94423136012266
1.1282051282051282,1.96,-75.9400433473001
1.1384615384615384,1.96,-75.93574645547683
1.1487179487179486,1.96,-75.93135144699761
1.1589743589743589,1.96,-75.92686684326492
1.169230769230769,1.96,-75.92230072417601
1.1794871794871795,1.96,-75.91766197186395
1.1897435897435897,1.96,-75.91295746411711
1.2,1.96,-75.90819411273922
0.9538461538461539,1.73,-75.98099546149871
0.9538461538461539,1.735897435897436,-75.98123890409032
0.9538461538461539,1.7417948717948717,-75.9814749433327
0.9538461538461539,1.7476923076923077,-75.9817036068067
0.9538461538461539,1.7535897435897436,-75.98192492263564
0.9538461538461539,1.7594871794871794,-75.98213891948328
0.9538461538461539,1.7653846153846153,-75.9823456265504
0.9538461538461539,1.7712820512820513,-75.98254524464275
0.9538461538461539,1.7771794871794873,-75.98273745963823
0.9538461538461539,1.783076923076923,-75.98292247570451
0.9538461538461539,1.788974358974359,-75.98310032416403
0.9538461538461539,1.794871794871795,-75.98327103686294
0.9538461538461539,1.8007692307692307,-75.98343464616816
0.9538461538461539,1.8066666666666666,-75.98359118496398
0.9538461538461539,1.8125641025641026,-75.98374068665038
0.9538461538461539,1.8184615384615384,-75.9838831851383
0.9538461538461539,1.8243589743589743,-75.98401871484808
0.9538461538461539,1.8302564102564103,-75.98414731070622
0.9538461538461539,1.836153846153846,-75.98426900814184
0.9538461538461539,1.842051282051282,-75.98438384308433
0.9538461538461539,1.847948717948718,-75.98449185196009
0.9538461538461539,1.853846153846154,-75.98459272706359
0.9538461538461539,1.8597435897435897,-75.98468719877475
0.9538461538461539,1.8656410256410256,-75.98477495657306
0.9538461538461539,1.8715384615384616,-75.98485603884566
0.9538461538461539,1.8774358974358973,-75.98493048446204
0.9538461538461539,1.8833333333333333,-75.98499833277157
0.9538461538461539,1.8892307692307693,-75.98505962360018
0.9538461538461539,1.895128205128205,-75.98511439724837
0.9538461538461539,1.901025641025641,-75.98516269448712
0.9538461538461539,1.906923076923077,-75.98520455655658
0.9538461538461539,1.9128205128205127,-75.98524002516241
0.9538461538461539,1.9187179487179487,-75.9852691424738
0.9538461538461539,1.9246153846153846,-75.9852919511198
0.9538461538461539,1.9305128205128206,-75.98530849418817
0.9538461538461539,1.9364102564102563,-75.9853188152217
0.9538461538461539,1.9423076923076923,-75.98532295821606
0.9538461538461539,1.9482051282051283,-75.9853209676173
0.9538461538461539,1.954102564102564,-75.98531288831943
0.9538461538461539,1.96,-75.98529876566214
0.8,1.9423076923076923,-75.91709047737696
0.8102564102564103,1.9423076923076923,-75.92771838493692
0.8205128205128206,1.9423076923076923,-75.93720457514527
0.8307692307692308,1.9423076923076923,-75.94562520648411
0.841025641025641,1.9423076923076923,-75.95305061542008
0.8512820512820514,1.9423076923076923,-75.95954741232507
0.8615384615384616,1.9423076923076923,-75.9651776789924
0.8717948717948718,1.9423076923076923,-75.96999951462726
0.882051282051282,1.9423076923076923,-75.97406766102145
0.8923076923076924,1.9423076923076923,-75.97743240979624
0.9025641025641026,1.9423076923076923,-75.98014169598453
0.9128205128205129,1.9423076923076923,-75.98224013991444
0.9230769230769231,1.9423076923076923,-75.9837698733975
0.9333333333333333,1.9423076923076923,-75.98476942279004
0.9435897435897436,1.9423076923076923,-75.98527568440727
0.9538461538461539,1.9423076923076923,-75.98532295821606
0.9641025641025641,1.9423076923076923,-75.98494376562712
0.9743589743589743,1.9423076923076923,-75.98416751222999
0.9846153846153847,1.9423076923076923,-75.9830226569223
0.9948717948717949,1.9423076923076923,-75.981535951205
1.005128205128205,1.9423076923076923,-75.97973145843196
1.0153846153846153,1.9423076923076923,-75.97763257204704
1.0256410256410255,1.9423076923076923,-75.97526133636833
1.035897435897436,1.9423076923076923,-75.97263735802068
1.0461538461538462,1.9423076923076923,-75.96977988771079
1.0564102564102564,1.9423076923076923,-75.96670714493102
1.0666666666666667,1.9423076923076923,-75.96343498162535
1.0769230769230769,1.9423076923076923,-75.9599792670749
1.0871794871794873,1.9423076923076923,-75.95635515028182
1.0974358974358975,1.9423076923076923,-75.95257524570985
1.1076923076923078,1.9423076923076923,-75.94865329072105
1.117948717948718,1.9423076923076923,-75.94460022303882
1.1282051282051282,1.9423076923076923,-75.94042818834394
1.1384615384615384,1.9423076923076923,-75.93614657290229
1.1487179487179486,1.9423076923076923,-75.93176620305063
1.1589743589743589,1.9423076923076923,-75.92729557325097
1.169230769230769,1.9423076923076923,-75.92274274150793
1.1794871794871795,1.9423076923076923,-75.91811666094318
1.1897435897435897,1.9423076923076923,-75.9134241842245
1.2,1.9423076923076923,-75.90867223313174
0.8738461538461539,1.8963076923076922,-75.97009475053967
0.8738461538461539,1.8986666666666665,-75.97014443818017
0.8738461538461539,1.901025641025641,-75.97019304698475
0.8738461538461539,1.9033846153846152,-75.97024057970329
0.8738461538461539,1.9057435897435897,-75.97028703909764
0.8738461538461539,1.908102564102564,-75.97033242794167
0.8738461538461539,1.9104615384615384,-75.97037674902072
0.8738461538461539,1.9128205128205127,-75.97042000513227
0.8738461538461539,1.9151794871794872,-75.97046219908506
0.8738461538461539,1.9175384615384614,-75.97050333369987
0.8738461538461539,1.9198974358974359,-75.97054341180912
0.8738461538461539,1.9222564102564101,-75.97058243625702
0.8738461538461539,1.9246153846153846,-75.97062040989975
0.8738461538461539,1.9269743589743589,-75.97065733560422
0.8738461538461539,1.9293333333333333,-75.97069321625018
0.8738461538461539,1.9316923076923076,-75.97072805472821
0.8738461538461539,1.934051282051282,-75.97076185394064
0.8738461538461539,1.9364102564102563,-75.97079461680207
0.8738461538461539,1.9387692307692308,-75.97082634623759
0.8738461538461539,1.941128205128205,-75.97085704518503
0.8738461538461539,1.9434871794871795,-75.9708867165929
0.8738461538461539,1.9458461538461538,-75.97091536342181
0.8738461538461539,1.9482051282051283,-75.97094298864343
0.8738461538461539,1.9505641025641025,-75.97096959524133
0.8738461538461539,1.952923076923077,-75.97099518621044
0.8738461538461539,1.9552820512820512,-75.97101976455711
0.8738461538461539,1.9576410256410257,-75.97104333329925
0.8738461538461539,1.96,-75.97106589546634
0.8738461538461539,1.9623589743589744,-75.97108745409861
0.8738461538461539,1.9647179487179487,-75.97110801224868
0.8738461538461539,1.9670769230769232,-75.9711275729797
0.8738461538461539,1.9694358974358974,-75.97114613936664
0.8738461538461539,1.971794871794872,-75.9711637144958
0.8738461538461539,1.9741538461538461,-75.97118030146422
0.8738461538461539,1.9765128205128206,-75.97119590338129
0.8738461538461539,1.9788717948717949,-75.97121052336678
0.8738461538461539,1.9812307692307694,-75.97122416455193
0.8738461538461539,1.9835897435897436,-75.9712368300794
0.8738461538461539,1.9859487179487179,-75.97124852310282
0.8738461538461539,1.9883076923076923,-75.97125924678744
0.8738461538461539,1.9423076923076923,-75.97087200914666
0.8779487179487181,1.9423076923076923,-75.97252766307807
0.8820512820512821,1.9423076923076923,-75.97406766102148
0.8861538461538463,1.9423076923076923,-75.97549519579759
0.8902564102564103,1.9423076923076923,-75.97681337710247
0.8943589743589745,1.9423076923076923,-75.97802538885742
0.8984615384615385,1.9423076923076923,-75.97913389018909
0.9025641025641027,1.9423076923076923,-75.98014189250536
0.9066666666666667,1.9423076923076923,-75.9810521946615
0.9107692307692309,1.9423076923076923,-75.98186752279815
0.9148717948717949,1.9423076923076923,-75.98259053224584
0.9189743589743591,1.9423076923076923,-75.9832238093751
0.9230769230769231,1.9423076923076923,-75.9837698733975
0.9271794871794873,1.9423076923076923,-75.98423117811232
0.9312820512820513,1.9423076923076923,-75.98461011360911
0.9353846153846155,1.9423076923076923,-75.98490917586383
0.9394871794871795,1.9423076923076923,-75.98513031915985
0.9435897435897437,1.9423076923076923,-75.98527590058089
0.9476923076923077,1.9423076923076923,-75.98534807185472
0.9517948717948719,1.9423076923076923,-75.98534892886896
0.9558974358974359,1.9423076923076923,-75.98528051311271
0.9600000000000001,1.9423076923076923,-75.98514481307882
0.9641025641025641,1.9423076923076923,-75.98494376562712
0.9682051282051283,1.9423076923076923,-75.9846792573107
0.9723076923076923,1.9423076923076923,-75.98435331076512
0.9764102564102565,1.9423076923076923,-75.98396737197399
0.9805128205128205,1.9423076923076923,-75.98352334659903
0.9846153846153847,1.9423076923076923,-75.98302293303057
0.9887179487179487,1.9423076923076923,-75.98246778551953
0.9928205128205129,1.9423076923076923,-75.98185951530483
0.996923076923077,1.9423076923076923,-75.98119969170877
1.001025641025641,1.9423076923076923,-75.98048984320059
1.005128205128205,1.9423076923076923,-75.9797316602585
1.0092307692307694,1.9423076923076923,-75.97892621940989
1.0133333333333334,1.9423076923076923,-75.97807510866718
1.0174358974358975,1.9423076923076923,-75.97717970380785
1.0215384615384615,1.9423076923076923,-75.97624134473274
1.0256410256410255,1.9423076923076923,-75.97526133636833
1.0297435897435898,1.9423076923076923,-75.97424094954462
1.0338461538461539,1.9423076923076923,-75.97318163457734
0.9517948717948719,1.8963076923076922,-75.98513652767753
0.9517948717948719,1.8986666666666665,-75.98515683504307
0.9517948717948719,1.901025641025641,-75.98517610881885
0.9517948717948719,1.9033846153846152,-75.98519435165613
0.9517948717948719,1.9057435897435897,-75.98521156621865
0.9517948717948719,1.908102564102564,-75.9852277551815
0.9517948717948719,1.9104615384615384,-75.98524292123203
0.9517948717948719,1.9128205128205127,-75.98525706706926
0.9517948717948719,1.9151794871794872,-75.9852701954043
0.9517948717948719,1.9175384615384614,-75.98528230895927
0.9517948717948719,1.9198974358974359,-75.98529341046945
0.9517948717948719,1.9222564102564101,-75.9853035026808
0.9517948717948719,1.9246153846153846,-75.98531258835128
0.9517948717948719,1.9269743589743589,-75.98532067025047
0.9517948717948719,1.9293333333333333,-75.98532775116006
0.9517948717948719,1.9316923076923076,-75.98533383387297
0.9517948717948719,1.934051282051282,-75.98533892119384
0.9517948717948719,1.9364102564102563,-75.98534301593895
0.9517948717948719,1.9387692307692308,-75.98534612093607
0.9517948717948719,1.941128205128205,-75.98534823902493
0.9517948717948719,1.9434871794871795,-75.98534937305585
0.9517948717948719,1.9458461538461538,-75.98534952589193
0.9517948717948719,1.9482051282051283,-75.9853487004066
0.9517948717948719,1.9505641025641025,-75.98534689948545
0.9517948717948719,1.952923076923077,-75.98534412602508
0.9517948717948719,1.9552820512820512,-75.98534038293388
0.9517948717948719,1.9576410256410257,-75.98533567313117
0.9517948717948719,1.96,-75.98532999954797
0.9517948717948719,1.9623589743589744,-75.98532336512687
0.9517948717948719,1.9647179487179487,-75.98531577282085
0.9517948717948719,1.9670769230769232,-75.98530722559491
0.9517948717948719,1.9694358974358974,-75.98529772642533
0.9517948717948719,1.971794871794872,-75.98528727829907
0.9517948717948719,1.9741538461538461,-75.98527588421503
0.9517948717948719,1.9765128205128206,-75.98526354718291
0.9517948717948719,1.9788717948717949,-75.9852502702233
0.9517948717948719,1.9812307692307694,-75.98523605636849
0.9517948717948719,1.9835897435897436,-75.98522090866133
0.9517948717948719,1.9859487179487179,-75.98520483015619
0.9517948717948719,1.9883076923076923,-75.9851878239186
0.8738461538461539,1.9458461538461538,-75.97091536342181
0.8779487179487181,1.9458461538461538,-75.97256866765481
0.8820512820512821,1.9458461538461538,-75.9741063247283
0.8861538461538463,1.9458461538461538,-75.97553152785943
0.8902564102564103,1.9458461538461538,-75.976847387142
0.8943589743589745,1.9458461538461538,-75.97805708626275
0.8984615384615385,1.9458461538461538,-75.97916328591855
0.9025641025641027,1.9458461538461538,-75.98016899736403
