length,energy
1.154,-185.06286392567506
1.1543076923076923,-185.0629674473203
1.1546153846153846,-185.0630699208578
1.154923076923077,-185.06317134833222
1.155230769230769,-185.06327173178465
1.1555384615384614,-185.06337107325328
1.1558461538461537,-185.0634693747732
1.156153846153846,-185.06356663837482
1.1564615384615384,-185.0636628660867
1.1567692307692308,-185.06375805993332
1.157076923076923,-185.06385222193632
1.1573846153846152,-185.0639453541135
1.1576923076923076,-185.06403745847956
1.158,-185.0641285370461
1.1583076923076923,-185.06421859182097
1.1586153846153846,-185.0643076248088
1.158923076923077,-185.06439563801212
1.159230769230769,-185.0644826334285
1.1595384615384614,-185.06456861305296
1.1598461538461537,-185.0646535788771
1.160153846153846,-185.06473753288992
1.1604615384615384,-185.06482047707655
1.1607692307692308,-185.06490241341862
1.161076923076923,-185.06498334389482
1.1613846153846152,-185.06506327048146
1.1616923076923076,-185.06514219514992
1.162,-185.06522011986988
1.1623076923076923,-185.0652970466067
1.1626153846153846,-185.06537297732348
1.162923076923077,-185.06544791397877
1.163230769230769,-185.0655218585302
1.1635384615384614,-185.06559481292953
1.1638461538461538,-185.06566677912704
1.164153846153846,-185.06573775906972
1.1644615384615384,-185.06580775470024
1.1647692307692308,-185.06587676795985
1.165076923076923,-185.06594480078462
1.1653846153846152,-185.06601185510954
1.1656923076923076,-185.0660779328647
1.166,-185.0661430359781
