length,energy
1.137,-185.05545358117428
1.1373076923076924,-185.05561829013274
1.1376153846153847,-185.05578183261997
1.137923076923077,-185.05594421087554
1.1382307692307692,-185.0561054271356
1.1385384615384615,-185.05626548363256
1.1388461538461538,-185.05642438259417
1.1391538461538462,-185.05658212624593
1.1394615384615385,-185.056738716809
1.1397692307692309,-185.05689415650104
1.140076923076923,-185.05704844753552
1.1403846153846153,-185.05720159212288
1.1406923076923077,-185.05735359246972
1.141,-185.05750445077885
1.1413076923076924,-185.0576541692495
1.1416153846153847,-185.05780275007749
1.141923076923077,-185.05795019545454
1.1422307692307692,-185.05809650756902
1.1425384615384615,-185.05824168860605
1.1428461538461538,-185.0583857407468
1.1431538461538462,-185.05852866616868
1.1434615384615385,-185.0586704670456
1.1437692307692309,-185.0588111455485
1.144076923076923,-185.05895070384332
1.1443846153846153,-185.05908914409395
1.1446923076923077,-185.05922646845997
1.145,-185.0593626790973
1.1453076923076924,-185.05949777815886
1.1456153846153847,-185.05963176779363
1.145923076923077,-185.0597646501468
1.1462307692307692,-185.0598964273606
1.1465384615384615,-185.0600271015732
1.1468461538461538,-185.06015667491977
1.1471538461538462,-185.06028514953164
1.1474615384615385,-185.0604125275365
1.1477692307692309,-185.06053881105896
1.148076923076923,-185.06066400222016
1.1483846153846153,-185.0607881031366
1.1486923076923077,-185.0609111159232
1.149,-185.0610330426896
