length,energy
1.1809999999999998,-185.06817363119524
1.1813076923076922,-185.06819261234324
1.1816153846153845,-185.06821071266705
1.1819230769230769,-185.06822793393857
1.182230769230769,-185.06824427792725
1.1825384615384613,-185.06825974639918
1.1828461538461537,-185.06827434111813
1.183153846153846,-185.06828806384405
1.1834615384615383,-185.06830091633503
1.1837692307692307,-185.06831290034603
1.1840769230769228,-185.06832401762884
1.1843846153846151,-185.0683342699326
1.1846923076923075,-185.06834365900392
1.1849999999999998,-185.06835218658617
1.1853076923076922,-185.06835985442035
1.1856153846153845,-185.068366664244
1.1859230769230769,-185.06837261779233
1.186230769230769,-185.06837771679778
1.1865384615384613,-185.0683819629898
1.1868461538461537,-185.06838535809482
1.187153846153846,-185.06838790383716
1.1874615384615383,-185.0683896022281
1.1877692307692307,-185.06839045441276
1.1880769230769228,-185.06839046239014
1.1883846153846152,-185.06838962787276
1.1886923076923075,-185.06838795257
1.1889999999999998,-185.06838543819032
1.1893076923076922,-185.06838208643717
1.1896153846153845,-185.06837789901314
1.1899230769230769,-185.06837287761704
1.190230769230769,-185.06836702394477
1.1905384615384613,-185.06836033968997
1.1908461538461537,-185.0683528265438
1.191153846153846,-185.0683444861939
1.1914615384615383,-185.06833532032616
1.1917692307692307,-185.06832533062305
1.1920769230769228,-185.0683145187645
1.1923846153846152,-185.06830288642755
1.1926923076923075,-185.0682904352867
1.1929999999999998,-185.06827716701406
