length,angle,energy
0.8,1.73,-74.84743380977945
0.8,1.735897435897436,-74.84769113063597
0.8,1.7417948717948717,-74.84793702992336
0.8,1.7476923076923077,-74.84817160578453
0.8,1.7535897435897436,-74.84839495595935
0.8,1.7594871794871794,-74.84860717779716
0.8,1.7653846153846153,-74.84880836826683
0.8,1.7712820512820513,-74.84899862396787
0.8,1.7771794871794873,-74.84917804114114
0.8,1.783076923076923,-74.84934671567883
0.8,1.788974358974359,-74.84950474313479
0.8,1.794871794871795,-74.84965221873492
0.8,1.8007692307692307,-74.8497892373864
0.8,1.8066666666666666,-74.84991589368748
0.8,1.8125641025641026,-74.85003228193737
0.8,1.8184615384615384,-74.8501384961453
0.8,1.8243589743589743,-74.85023463003947
0.8,1.8302564102564103,-74.85032077707673
0.8,1.836153846153846,-74.8503970304508
0.8,1.842051282051282,-74.85046348310144
0.8,1.847948717948718,-74.85052022772328
0.8,1.853846153846154,-74.85056735677375
0.8,1.8597435897435897,-74.85060496248228
0.8,1.8656410256410256,-74.85063313685765
0.8,1.8715384615384616,-74.85065197169698
0.8,1.8774358974358973,-74.85066155859339
0.8,1.8833333333333333,-74.85066198894414
0.8,1.8892307692307693,-74.850653353958
0.8,1.895128205128205,-74.85063574466399
0.8,1.901025641025641,-74.85060925191803
0.8,1.906923076923077,-74.85057396641099
0.8,1.9128205128205127,-74.85052997867592
0.8,1.9187179487179487,-74.85047737909582
0.8,1.9246153846153846,-74.85041611616374
0.8,1.9305128205128206,-74.8503465680261
0.8,1.9364102564102563,-74.85026867830092
0.8,1.9423076923076923,-74.85018253684102
0.8,1.9482051282051283,-74.85008823338411
0.8,1.954102564102564,-74.84998585755952
0.8,1.96,-74.84987549889595
0.8,1.8833333333333333,-74.85066198894414
0.8102564102564103,1.8833333333333333,-74.8651308954703
0.8205128205128206,1.8833333333333333,-74.87829999255587
0.8307692307692308,1.8833333333333333,-74.89024826375669
0.841025641025641,1.8833333333333333,-74.90104932997897
0.8512820512820514,1.8833333333333333,-74.91077185204377
0.8615384615384616,1.8833333333333333,-74.91947990508359
0.8717948717948718,1.8833333333333333,-74.92723332631968
0.882051282051282,1.8833333333333333,-74.93408803767556
